name,family,units,role,target,bmatch,bmatch_work,bcase,blamabs
entry-integer/16/control,entry-integer,16,control,match,0,0,16,0
entry-integer/16/work,entry-integer,16,work,match,16,0,0,0
rejected-alternatives/16/control,rejected-alternatives,16,control,match_work,1,0,0,0
rejected-alternatives/16/work,rejected-alternatives,16,work,match_work,1,16,0,0
list-fields/16/control,list-fields,16,control,match_work,1,0,0,0
list-fields/16/work,list-fields,16,work,match_work,1,16,0,0
data-list-fields/16/control,data-list-fields,16,control,match_work,1,0,0,0
data-list-fields/16/work,data-list-fields,16,work,match_work,1,16,0,0
data-constr-fields/16/control,data-constr-fields,16,control,match_work,1,0,0,0
data-constr-fields/16/work,data-constr-fields,16,work,match_work,1,16,0,0
data-map-fields/16/control,data-map-fields,16,control,match_work,1,0,0,0
data-map-fields/16/work,data-map-fields,16,work,match_work,1,16,0,0
root-capture-success/16/control,root-capture-success,16,control,match_work,16,0,0,0
root-capture-success/16/work,root-capture-success,16,work,match_work,16,16,0,16
field-capture-success/16/control,field-capture-success,16,control,match_work,1,16,0,0
field-capture-success/16/work,field-capture-success,16,work,match_work,1,32,0,16
field-capture-abandoned/16/control,field-capture-abandoned,16,control,match_work,1,17,0,0
field-capture-abandoned/16/work,field-capture-abandoned,16,work,match_work,1,33,0,0
rest-suffix/16/control,rest-suffix,16,control,audit,1,1,0,0
rest-suffix/16/work,rest-suffix,16,work,audit,1,1,0,0
pair-bounded/32/control,pair-bounded,32,control,match_work,16,0,0,0
pair-bounded/32/work,pair-bounded,32,work,match_work,16,32,0,0
data-i-bounded/16/control,data-i-bounded,16,control,match_work,16,0,0,0
data-i-bounded/16/work,data-i-bounded,16,work,match_work,16,16,0,0
data-b-bounded/16/control,data-b-bounded,16,control,match_work,16,0,0,0
data-b-bounded/16/work,data-b-bounded,16,work,match_work,16,16,0,0
bytestring-8-byte-chunks/16/control,bytestring-8-byte-chunks,16,control,match_work,1,0,0,0
bytestring-8-byte-chunks/16/work,bytestring-8-byte-chunks,16,work,match_work,1,16,0,0
entry-integer/64/control,entry-integer,64,control,match,0,0,64,0
entry-integer/64/work,entry-integer,64,work,match,64,0,0,0
rejected-alternatives/64/control,rejected-alternatives,64,control,match_work,1,0,0,0
rejected-alternatives/64/work,rejected-alternatives,64,work,match_work,1,64,0,0
list-fields/64/control,list-fields,64,control,match_work,1,0,0,0
list-fields/64/work,list-fields,64,work,match_work,1,64,0,0
data-list-fields/64/control,data-list-fields,64,control,match_work,1,0,0,0
data-list-fields/64/work,data-list-fields,64,work,match_work,1,64,0,0
data-constr-fields/64/control,data-constr-fields,64,control,match_work,1,0,0,0
data-constr-fields/64/work,data-constr-fields,64,work,match_work,1,64,0,0
data-map-fields/64/control,data-map-fields,64,control,match_work,1,0,0,0
data-map-fields/64/work,data-map-fields,64,work,match_work,1,64,0,0
root-capture-success/64/control,root-capture-success,64,control,match_work,64,0,0,0
root-capture-success/64/work,root-capture-success,64,work,match_work,64,64,0,64
field-capture-success/64/control,field-capture-success,64,control,match_work,1,64,0,0
field-capture-success/64/work,field-capture-success,64,work,match_work,1,128,0,64
field-capture-abandoned/64/control,field-capture-abandoned,64,control,match_work,1,65,0,0
field-capture-abandoned/64/work,field-capture-abandoned,64,work,match_work,1,129,0,0
rest-suffix/64/control,rest-suffix,64,control,audit,1,1,0,0
rest-suffix/64/work,rest-suffix,64,work,audit,1,1,0,0
pair-bounded/128/control,pair-bounded,128,control,match_work,64,0,0,0
pair-bounded/128/work,pair-bounded,128,work,match_work,64,128,0,0
data-i-bounded/64/control,data-i-bounded,64,control,match_work,64,0,0,0
data-i-bounded/64/work,data-i-bounded,64,work,match_work,64,64,0,0
data-b-bounded/64/control,data-b-bounded,64,control,match_work,64,0,0,0
data-b-bounded/64/work,data-b-bounded,64,work,match_work,64,64,0,0
bytestring-8-byte-chunks/64/control,bytestring-8-byte-chunks,64,control,match_work,1,0,0,0
bytestring-8-byte-chunks/64/work,bytestring-8-byte-chunks,64,work,match_work,1,64,0,0
entry-integer/256/control,entry-integer,256,control,match,0,0,256,0
entry-integer/256/work,entry-integer,256,work,match,256,0,0,0
rejected-alternatives/256/control,rejected-alternatives,256,control,match_work,1,0,0,0
rejected-alternatives/256/work,rejected-alternatives,256,work,match_work,1,256,0,0
list-fields/256/control,list-fields,256,control,match_work,1,0,0,0
list-fields/256/work,list-fields,256,work,match_work,1,256,0,0
data-list-fields/256/control,data-list-fields,256,control,match_work,1,0,0,0
data-list-fields/256/work,data-list-fields,256,work,match_work,1,256,0,0
data-constr-fields/256/control,data-constr-fields,256,control,match_work,1,0,0,0
data-constr-fields/256/work,data-constr-fields,256,work,match_work,1,256,0,0
data-map-fields/256/control,data-map-fields,256,control,match_work,1,0,0,0
data-map-fields/256/work,data-map-fields,256,work,match_work,1,256,0,0
root-capture-success/256/control,root-capture-success,256,control,match_work,256,0,0,0
root-capture-success/256/work,root-capture-success,256,work,match_work,256,256,0,256
field-capture-success/256/control,field-capture-success,256,control,match_work,1,256,0,0
field-capture-success/256/work,field-capture-success,256,work,match_work,1,512,0,256
field-capture-abandoned/256/control,field-capture-abandoned,256,control,match_work,1,257,0,0
field-capture-abandoned/256/work,field-capture-abandoned,256,work,match_work,1,513,0,0
rest-suffix/256/control,rest-suffix,256,control,audit,1,1,0,0
rest-suffix/256/work,rest-suffix,256,work,audit,1,1,0,0
pair-bounded/512/control,pair-bounded,512,control,match_work,256,0,0,0
pair-bounded/512/work,pair-bounded,512,work,match_work,256,512,0,0
data-i-bounded/256/control,data-i-bounded,256,control,match_work,256,0,0,0
data-i-bounded/256/work,data-i-bounded,256,work,match_work,256,256,0,0
data-b-bounded/256/control,data-b-bounded,256,control,match_work,256,0,0,0
data-b-bounded/256/work,data-b-bounded,256,work,match_work,256,256,0,0
bytestring-8-byte-chunks/256/control,bytestring-8-byte-chunks,256,control,match_work,1,0,0,0
bytestring-8-byte-chunks/256/work,bytestring-8-byte-chunks,256,work,match_work,1,256,0,0
entry-integer/1024/control,entry-integer,1024,control,match,0,0,1024,0
entry-integer/1024/work,entry-integer,1024,work,match,1024,0,0,0
rejected-alternatives/1024/control,rejected-alternatives,1024,control,match_work,1,0,0,0
rejected-alternatives/1024/work,rejected-alternatives,1024,work,match_work,1,1024,0,0
list-fields/1024/control,list-fields,1024,control,match_work,1,0,0,0
list-fields/1024/work,list-fields,1024,work,match_work,1,1024,0,0
data-list-fields/1024/control,data-list-fields,1024,control,match_work,1,0,0,0
data-list-fields/1024/work,data-list-fields,1024,work,match_work,1,1024,0,0
data-constr-fields/1024/control,data-constr-fields,1024,control,match_work,1,0,0,0
data-constr-fields/1024/work,data-constr-fields,1024,work,match_work,1,1024,0,0
data-map-fields/1024/control,data-map-fields,1024,control,match_work,1,0,0,0
data-map-fields/1024/work,data-map-fields,1024,work,match_work,1,1024,0,0
root-capture-success/1024/control,root-capture-success,1024,control,match_work,1024,0,0,0
root-capture-success/1024/work,root-capture-success,1024,work,match_work,1024,1024,0,1024
field-capture-success/1024/control,field-capture-success,1024,control,match_work,1,1024,0,0
field-capture-success/1024/work,field-capture-success,1024,work,match_work,1,2048,0,1024
field-capture-abandoned/1024/control,field-capture-abandoned,1024,control,match_work,1,1025,0,0
field-capture-abandoned/1024/work,field-capture-abandoned,1024,work,match_work,1,2049,0,0
rest-suffix/1024/control,rest-suffix,1024,control,audit,1,1,0,0
rest-suffix/1024/work,rest-suffix,1024,work,audit,1,1,0,0
pair-bounded/2048/control,pair-bounded,2048,control,match_work,1024,0,0,0
pair-bounded/2048/work,pair-bounded,2048,work,match_work,1024,2048,0,0
data-i-bounded/1024/control,data-i-bounded,1024,control,match_work,1024,0,0,0
data-i-bounded/1024/work,data-i-bounded,1024,work,match_work,1024,1024,0,0
data-b-bounded/1024/control,data-b-bounded,1024,control,match_work,1024,0,0,0
data-b-bounded/1024/work,data-b-bounded,1024,work,match_work,1024,1024,0,0
bytestring-8-byte-chunks/1024/control,bytestring-8-byte-chunks,1024,control,match_work,1,0,0,0
bytestring-8-byte-chunks/1024/work,bytestring-8-byte-chunks,1024,work,match_work,1,1024,0,0
