Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
entry-integer/16/control,3.9888906245602494e-7,3.957438329771057e-7,4.0184113221998894e-7,6.33336012546874e-9,5.658769299235362e-9,7.268484377327756e-9
entry-integer/16/work,6.052205707652211e-7,6.025448618039861e-7,6.074986031820384e-7,5.548617339104375e-9,4.8640790601594324e-9,6.8505701780250255e-9
rejected-alternatives/16/control,2.298978940362924e-7,2.2967494018383378e-7,2.3032646058689438e-7,6.599267898709768e-10,2.8416588940753696e-10,1.0936180774083455e-9
rejected-alternatives/16/work,5.524150018811325e-7,5.522713275565824e-7,5.52604498343448e-7,3.641418429056928e-10,2.815593810934356e-10,4.774212274664871e-10
list-fields/16/control,2.302938270733344e-7,2.300049011613129e-7,2.306224814859773e-7,6.632334687017095e-10,5.130454383966849e-10,8.147270746903353e-10
list-fields/16/work,3.0794982478116e-7,3.077940336031254e-7,3.0806569549720477e-7,2.867141881484677e-10,1.7890505212361963e-10,3.9443677812480896e-10
data-list-fields/16/control,2.3054475511414782e-7,2.303889622984002e-7,2.3068241102031067e-7,3.1151702844933665e-10,2.469683161087697e-10,4.3466779129031996e-10
data-list-fields/16/work,3.0901466081020486e-7,3.0887492313362543e-7,3.0919248016598534e-7,3.5922096311102056e-10,2.715646370545627e-10,4.8717493153742e-10
data-constr-fields/16/control,2.3067800081407325e-7,2.304785898796383e-7,2.3082456091863274e-7,3.698518967693283e-10,2.7263412800223553e-10,5.141776170099384e-10
data-constr-fields/16/work,3.1480620482304994e-7,3.144092372030713e-7,3.1522131491691765e-7,8.694488613843975e-10,6.678840317268385e-10,1.086540588961264e-9
data-map-fields/16/control,2.2974508744078387e-7,2.2958846585452913e-7,2.299100510346015e-7,3.479626890184484e-10,2.645822203279823e-10,4.482725399248565e-10
data-map-fields/16/work,3.099800777424358e-7,3.0980899985217053e-7,3.101817356157966e-7,4.053520093204136e-10,2.948277630281127e-10,5.465929464420784e-10
root-capture-success/16/control,5.889099351388245e-7,5.882059099304595e-7,5.89487192783271e-7,1.3643504286083795e-9,1.0577821428363472e-9,1.869442845469232e-9
root-capture-success/16/work,7.81995621983879e-7,7.814632071114206e-7,7.830597292602211e-7,1.4994061768241466e-9,7.748691825349455e-10,2.2551212592963007e-9
field-capture-success/16/control,3.0948359323591016e-7,3.0933822686692267e-7,3.0962543129912486e-7,3.091224868364074e-10,2.159091632093821e-10,4.328947163746694e-10
field-capture-success/16/work,5.353910836792897e-7,5.350863880142416e-7,5.359300056119481e-7,8.257685965692413e-10,5.873449474242908e-10,1.1805367240273726e-9
field-capture-abandoned/16/control,3.367816931247035e-7,3.3659165580069743e-7,3.370298452136078e-7,4.711265196623395e-10,3.4813468373358126e-10,6.282397445358498e-10
field-capture-abandoned/16/work,3.62357284965873e-7,3.6214527223289345e-7,3.626573313666114e-7,5.343111116910798e-10,3.490661740728396e-10,7.421431162397841e-10
rest-suffix/16/control,2.5972042625063176e-7,2.595508053675694e-7,2.5985323868761413e-7,3.1872744413215807e-10,2.549063635887332e-10,4.345552268873148e-10
rest-suffix/16/work,2.590152241403685e-7,2.585270015721107e-7,2.5947163307284386e-7,1.0823998218535986e-9,8.292199746117387e-10,1.4750231616591574e-9
pair-bounded/32/control,5.806696175201983e-7,5.790319414408192e-7,5.825596556827572e-7,3.800608408410768e-9,3.166453253485761e-9,4.790480706638374e-9
pair-bounded/32/work,7.271693334158122e-7,7.248131693756043e-7,7.286831525042228e-7,3.968242676495585e-9,2.2244886763305428e-9,5.557300474083171e-9
data-i-bounded/16/control,5.936915843335291e-7,5.922308925973785e-7,5.959271137344482e-7,3.7745274390289685e-9,2.5188868997708553e-9,4.648836186015845e-9
data-i-bounded/16/work,6.956359674091508e-7,6.917051490584996e-7,6.992911005023444e-7,8.383792936416455e-9,6.586898168298914e-9,9.078777942622612e-9
data-b-bounded/16/control,5.91382647643444e-7,5.882157861200023e-7,5.955547006534834e-7,8.182441462573735e-9,5.965840650268714e-9,1.0855013560604052e-8
data-b-bounded/16/work,7.22452112612296e-7,7.198402820069639e-7,7.240708236048723e-7,4.541890095032196e-9,2.151923142694794e-9,7.304239202184168e-9
bytestring-8-byte-chunks/16/control,2.3105209136163705e-7,2.309153344343028e-7,2.3122101689401456e-7,3.241444266109465e-10,2.490472871888858e-10,4.348163233724198e-10
bytestring-8-byte-chunks/16/work,2.558558132732645e-7,2.556643337926533e-7,2.5602327889483696e-7,3.8260719583059165e-10,3.061087376997025e-10,5.478351910742596e-10
entry-integer/64/control,1.0608060533258857e-6,1.0504785669581157e-6,1.0657205964483413e-6,1.3914628122539781e-8,1.8609661912039633e-9,2.0669962265733876e-8
entry-integer/64/work,1.8284857199802159e-6,1.807927448920107e-6,1.8577376217193715e-6,5.170005354692543e-8,3.749263019369849e-8,7.39757009085625e-8
rejected-alternatives/64/control,2.304708632344665e-7,2.3037022941806164e-7,2.3059737803984727e-7,2.458352614713191e-10,1.9809901788888848e-10,3.0332738230258254e-10
rejected-alternatives/64/work,1.379880012613958e-6,1.3792812310727153e-6,1.3805428241593138e-6,1.409269970044589e-9,1.1098002537366415e-9,1.9253173029180683e-9
list-fields/64/control,2.2994374386189e-7,2.2977037671378028e-7,2.3013173119169186e-7,3.797001658793088e-10,3.042099481057932e-10,5.054971289526169e-10
