implementation,case_id,family,depth,width,cpu,memory,match_steps,match_work_steps,pattern_steps,structural_steps,next_steps
shallow,constr-d1-w1,constr,1,1,211622,1400,2,4,0,0,0
shallow,constr-d1-w4,constr,1,4,269024,1700,2,7,0,0,0
shallow,constr-d1-w16,constr,1,16,498632,2900,2,19,0,0,0
shallow,constr-d4-w1,constr,4,1,504905,3200,5,10,0,0,0
shallow,constr-d4-w4,constr,4,4,734513,4400,5,22,0,0,0
shallow,constr-d4-w16,constr,4,16,1652945,9200,5,70,0,0,0
shallow,constr-d16-w1,constr,16,1,1678037,10400,17,34,0,0,0
shallow,constr-d16-w4,constr,16,4,2596469,15200,17,82,0,0,0
shallow,constr-d16-w16,constr,16,16,6270197,34400,17,274,0,0,0
shallow,list-d1-w1,list,1,1,211622,1400,2,4,0,0,0
shallow,list-d1-w4,list,1,4,269024,1700,2,7,0,0,0
shallow,list-d1-w16,list,1,16,498632,2900,2,19,0,0,0
shallow,list-d4-w1,list,4,1,504905,3200,5,10,0,0,0
shallow,list-d4-w4,list,4,4,734513,4400,5,22,0,0,0
shallow,list-d4-w16,list,4,16,1652945,9200,5,70,0,0,0
shallow,list-d16-w1,list,16,1,1678037,10400,17,34,0,0,0
shallow,list-d16-w4,list,16,4,2596469,15200,17,82,0,0,0
shallow,list-d16-w16,list,16,16,6270197,34400,17,274,0,0,0
shallow,alternating-d1-w1,alternating,1,1,211622,1400,2,4,0,0,0
shallow,alternating-d1-w4,alternating,1,4,269024,1700,2,7,0,0,0
shallow,alternating-d1-w16,alternating,1,16,498632,2900,2,19,0,0,0
shallow,alternating-d4-w1,alternating,4,1,621800,3900,6,13,0,0,0
shallow,alternating-d4-w4,alternating,4,4,851408,5100,6,25,0,0,0
shallow,alternating-d4-w16,alternating,4,16,1769840,9900,6,73,0,0,0
shallow,alternating-d16-w1,alternating,16,1,2262512,13900,22,49,0,0,0
shallow,alternating-d16-w4,alternating,16,4,3180944,18700,22,97,0,0,0
shallow,alternating-d16-w16,alternating,16,16,6854672,37900,22,289,0,0,0
nested,constr-d1-w1,constr,1,1,291976,936,2,0,16,2,0
nested,constr-d1-w4,constr,1,4,330976,1116,2,0,16,5,0
nested,constr-d1-w16,constr,1,16,486976,1836,2,0,16,17,0
nested,constr-d4-w1,constr,4,1,701164,1155,2,0,55,5,0
nested,constr-d4-w4,constr,4,4,857164,1875,2,0,55,17,0
nested,constr-d4-w16,constr,4,16,1481164,4755,2,0,55,65,0
nested,constr-d16-w1,constr,16,1,2337916,2031,2,0,211,17,0
nested,constr-d16-w4,constr,16,4,2961916,4911,2,0,211,65,0
nested,constr-d16-w16,constr,16,16,5457916,16431,2,0,211,257,0
nested,list-d1-w1,list,1,1,291976,936,2,0,16,2,0
nested,list-d1-w4,list,1,4,330976,1116,2,0,16,5,0
nested,list-d1-w16,list,1,16,486976,1836,2,0,16,17,0
nested,list-d4-w1,list,4,1,701164,1155,2,0,55,5,0
nested,list-d4-w4,list,4,4,857164,1875,2,0,55,17,0
nested,list-d4-w16,list,4,16,1481164,4755,2,0,55,65,0
nested,list-d16-w1,list,16,1,2337916,2031,2,0,211,17,0
nested,list-d16-w4,list,16,4,2961916,4911,2,0,211,65,0
nested,list-d16-w16,list,16,16,5457916,16431,2,0,211,257,0
nested,alternating-d1-w1,alternating,1,1,291976,936,2,0,16,2,0
nested,alternating-d1-w4,alternating,1,4,330976,1116,2,0,16,5,0
nested,alternating-d1-w16,alternating,1,16,486976,1836,2,0,16,17,0
nested,alternating-d4-w1,alternating,4,1,784116,1281,2,0,61,7,0
nested,alternating-d4-w4,alternating,4,4,940116,2001,2,0,61,19,0
nested,alternating-d4-w16,alternating,4,16,1564116,4881,2,0,61,67,0
nested,alternating-d16-w1,alternating,16,1,2752676,2661,2,0,241,27,0
nested,alternating-d16-w4,alternating,16,4,3376676,5541,2,0,241,75,0
nested,alternating-d16-w16,alternating,16,16,5872676,17061,2,0,241,267,0
