case_id,family,depth,width,shallow_cpu_median_seconds,nested_cpu_median_seconds,shallow_cpu_min_seconds,shallow_cpu_max_seconds,nested_cpu_min_seconds,nested_cpu_max_seconds,cpu_time_ratio_shallow_over_nested,cpu_speedup_shallow_over_nested,shallow_budget_cpu,nested_budget_cpu,budget_cpu_ratio_shallow_over_nested,shallow_budget_memory,nested_budget_memory,budget_memory_ratio_shallow_over_nested,shallow_match_steps,shallow_match_work_steps,nested_match_steps,nested_pattern_steps,nested_structural_steps,nested_next_steps
alternating-d1-w1,alternating,1,1,3.49246797605e-07,3.68789310762e-07,3.48642210693e-07,3.50792025954e-07,3.68074208412e-07,3.69475228065e-07,0.947009003281,1.05595616994,211622,291976,0.724792448694,1400,936,1.49572649573,2,4,2,16,2,0
alternating-d1-w4,alternating,1,4,3.61751773294e-07,3.90465981296e-07,3.58838002822e-07,3.69913203059e-07,3.8940990045e-07,3.9198560612e-07,0.926461690959,1.07937544505,269024,330976,0.812820264913,1700,1116,1.52329749104,2,7,2,16,5,0
alternating-d1-w16,alternating,1,16,3.95592500811e-07,4.6928054735e-07,3.94657581817e-07,3.97791166291e-07,4.65273123537e-07,4.69990290588e-07,0.842976558575,1.18627260726,498632,486976,1.02393547115,2900,1836,1.57952069717,2,19,2,16,17,0
alternating-d4-w1,alternating,4,1,5.74348489931e-07,4.67474232778e-07,5.69590083125e-07,5.85214227883e-07,4.62531823451e-07,4.7707449082e-07,1.22862063759,0.813920887707,621800,784116,0.792994914018,3900,1281,3.04449648712,6,13,2,61,7,0
alternating-d4-w4,alternating,4,4,6.36121750683e-07,5.71139105732e-07,6.2263677854e-07,6.46939695311e-07,5.65321236726e-07,5.77427461283e-07,1.11377726424,0.897845585563,851408,940116,0.905641431483,5100,2001,2.54872563718,6,25,2,61,19,0
alternating-d4-w16,alternating,4,16,8.01885844364e-07,8.84342855274e-07,7.9632493786e-07,8.13082639143e-07,8.79418001782e-07,8.86525699757e-07,0.906759001423,1.10282886459,1769840,1564116,1.13152732918,9900,4881,2.0282728949,6,73,2,61,67,0
alternating-d16-w1,alternating,16,1,1.5467711335e-06,1.00264764188e-06,1.53715603216e-06,1.58381491215e-06,9.98594507894e-07,1.00591852244e-06,1.54268665172,0.648219778713,2262512,2752676,0.82193182198,13900,2661,5.22360015032,22,49,2,241,27,0
alternating-d16-w4,alternating,16,4,1.77786727675e-06,1.38669328125e-06,1.76341364337e-06,1.84097418029e-06,1.38191487565e-06,1.38907550619e-06,1.28209121713,0.779975704252,3180944,3376676,0.942034118761,18700,5541,3.37484208627,22,97,2,241,75,0
alternating-d16-w16,alternating,16,16,2.66903334596e-06,2.70326586761e-06,2.63285311402e-06,2.69146462869e-06,2.70130878697e-06,2.71265723484e-06,0.987336605677,1.01282581265,6854672,5872676,1.16721440107,37900,17061,2.22144071274,22,289,2,241,267,0
constr-d1-w1,constr,1,1,3.49345868394e-07,3.69177588799e-07,3.48071354671e-07,3.64826531619e-07,3.68302984435e-07,3.69672194322e-07,0.946281353454,1.056768155,211622,291976,0.724792448694,1400,936,1.49572649573,2,4,2,16,2,0
constr-d1-w4,constr,1,4,3.61928434783e-07,3.90152405366e-07,3.59212833584e-07,3.63431995295e-07,3.8924376518e-07,3.92169420947e-07,0.927659114248,1.07798218617,269024,330976,0.812820264913,1700,1116,1.52329749104,2,7,2,16,5,0
constr-d1-w16,constr,1,16,3.9570643008e-07,4.68308892403e-07,3.92704735922e-07,3.97066943874e-07,4.67131043232e-07,4.72443886565e-07,0.84496885816,1.18347556877,498632,486976,1.02393547115,2900,1836,1.57952069717,2,19,2,16,17,0
constr-d4-w1,constr,4,1,5.44506518469e-07,4.42100256256e-07,5.39706163271e-07,5.47238107669e-07,4.3979340847e-07,4.44702748569e-07,1.23163583545,0.811928308039,504905,701164,0.720095441295,3200,1155,2.77056277056,5,10,2,55,5,0
constr-d4-w4,constr,4,4,5.89211734832e-07,5.22964184184e-07,5.87531898835e-07,5.93382323546e-07,5.21625558041e-07,5.24755531693e-07,1.12667703191,0.887565798962,734513,857164,0.856910696203,4400,1875,2.34666666667,5,22,2,55,17,0
constr-d4-w16,constr,4,16,7.33301423492e-07,8.35739393901e-07,7.30813962402e-07,7.376361124e-07,8.31781876202e-07,8.36723383246e-07,0.877428333334,1.13969422004,1652945,1481164,1.11597702888,9200,4755,1.93480546793,5,70,2,55,65,0
constr-d16-w1,constr,16,1,1.22292727247e-06,8.30123434976e-07,1.21414008196e-06,1.2276480787e-06,8.21982403317e-07,8.33355620654e-07,1.47318726462,0.678800329065,1678037,2337916,0.717749055141,10400,2031,5.12063023141,17,34,2,211,17,0
constr-d16-w4,constr,16,4,1.40785054725e-06,1.1300295505e-06,1.39406161051e-06,1.417723621e-06,1.12629333184e-06,1.13308638191e-06,1.24585285989,0.802663004752,2596469,2961916,0.876618040485,15200,4911,3.09509264915,17,82,2,211,65,0
constr-d16-w16,constr,16,16,2.16513185587e-06,2.45404088335e-06,2.15454578091e-06,2.17669344342e-06,2.44679762344e-06,2.46186621728e-06,0.882272121283,1.13343715151,6270197,5457916,1.14882621865,34400,16431,2.09360355426,17,274,2,211,257,0
list-d1-w1,list,1,1,3.46419351588e-07,3.62956156929e-07,3.41351311199e-07,3.47184106922e-07,3.62730758892e-07,3.64715582023e-07,0.954438559519,1.04773637866,211622,291976,0.724792448694,1400,936,1.49572649573,2,4,2,16,2,0
list-d1-w4,list,1,4,3.57801034355e-07,3.83461449361e-07,3.5471902168e-07,3.63557653222e-07,3.82462131866e-07,3.85002904391e-07,0.933082151939,1.07171699504,269024,330976,0.812820264913,1700,1116,1.52329749104,2,7,2,16,5,0
list-d1-w16,list,1,16,3.93065331716e-07,4.62073256228e-07,3.90649945297e-07,3.94251745079e-07,4.5812716187e-07,4.63816908889e-07,0.850655878518,1.17556349783,498632,486976,1.02393547115,2900,1836,1.57952069717,2,19,2,16,17,0
list-d4-w1,list,4,1,5.17301608662e-07,4.24628916165e-07,5.10433507042e-07,5.20005624179e-07,4.23256421138e-07,4.32198960489e-07,1.21824395129,0.820853654917,504905,701164,0.720095441295,3200,1155,2.77056277056,5,10,2,55,5,0
list-d4-w4,list,4,4,5.63537741037e-07,5.04790295721e-07,5.54531605984e-07,5.70855542428e-07,5.03043201496e-07,5.07512551047e-07,1.11637990234,0.895752420756,734513,857164,0.856910696203,4400,1875,2.34666666667,5,22,2,55,17,0
list-d4-w16,list,4,16,7.09548983928e-07,8.15752303892e-07,7.08140846168e-07,7.18030917011e-07,8.13919958104e-07,8.19024391552e-07,0.869809353332,1.14967722084,1652945,1481164,1.11597702888,9200,4755,1.93480546793,5,70,2,55,65,0
list-d16-w1,list,16,1,1.17871747786e-06,7.6625884241e-07,1.16909709508e-06,1.18438240443e-06,7.6383971403e-07,7.70389952308e-07,1.53827585748,0.650078459686,1678037,2337916,0.717749055141,10400,2031,5.12063023141,17,34,2,211,17,0
list-d16-w4,list,16,4,1.32300390837e-06,1.06944567265e-06,1.31670606663e-06,1.32771662214e-06,1.06458694376e-06,1.07323060648e-06,1.23709314293,0.808346570925,2596469,2961916,0.876618040485,15200,4911,3.09509264915,17,82,2,211,65,0
list-d16-w16,list,16,16,2.11555778224e-06,2.40131790416e-06,2.1131186351e-06,2.12938671426e-06,2.39761964381e-06,2.41655937345e-06,0.880998629369,1.13507554571,6270197,5457916,1.14882621865,34400,16431,2.09360355426,17,274,2,211,257,0
