implementation,case_id,family,depth,width,repeat,pair_order,criterion_name,mean_seconds,mean_lb_seconds,mean_ub_seconds,stddev_seconds,stddev_lb_seconds,stddev_ub_seconds
shallow,constr-d1-w1,constr,1,1,1,1,shallow/constr-d1-w1,3.6482653161887613e-7,3.5444981572515684e-7,4.0219246492557045e-7,4.0563653059353475e-8,1.0368419020497253e-8,7.636243893330952e-8
nested,constr-d1-w1,constr,1,1,1,2,nested/constr-d1-w1,3.683029844350577e-7,3.681816579313119e-7,3.684080031290688e-7,2.483996434311606e-10,1.8930960773636042e-10,3.343046560946929e-10
shallow,constr-d1-w4,constr,1,4,1,1,shallow/constr-d1-w4,3.634319952954564e-7,3.612088754464213e-7,3.734430363118664e-7,8.300230146166965e-9,1.0862009459113663e-9,1.667141107364659e-8
nested,constr-d1-w4,constr,1,4,1,2,nested/constr-d1-w4,3.921694209467316e-7,3.9119752747836354e-7,3.9485102103340445e-7,2.9689924952881067e-9,5.18520476606255e-10,5.155437122653472e-9
shallow,constr-d1-w16,constr,1,16,1,1,shallow/constr-d1-w16,3.942126542093577e-7,3.936636416727999e-7,3.955861329620596e-7,1.7570737995544923e-9,7.339523148324984e-10,3.0827704086649293e-9
nested,constr-d1-w16,constr,1,16,1,2,nested/constr-d1-w16,4.671310432318898e-7,4.6699403044401857e-7,4.67246628006884e-7,2.7318034493029883e-10,1.9171103125779586e-10,4.040702981357853e-10
shallow,constr-d4-w1,constr,4,1,1,1,shallow/constr-d4-w1,5.460368191792183e-7,5.455816773984758e-7,5.470784075680921e-7,1.363902134055892e-9,7.348571771315704e-10,1.9129865109067024e-9
nested,constr-d4-w1,constr,4,1,1,2,nested/constr-d4-w1,4.4241922453235486e-7,4.420626150457779e-7,4.4284774239785115e-7,7.82187833092021e-10,6.124695945163403e-10,9.399044801074372e-10
shallow,constr-d4-w4,constr,4,4,1,1,shallow/constr-d4-w4,5.932502904196008e-7,5.926549624988965e-7,5.938344915092887e-7,1.2305486758615647e-9,9.216926934187846e-10,1.6983575269234666e-9
nested,constr-d4-w4,constr,4,4,1,2,nested/constr-d4-w4,5.247555316931114e-7,5.245032227267814e-7,5.250670008007088e-7,6.148631346529305e-10,4.039727399858975e-10,9.553660431773816e-10
shallow,constr-d4-w16,constr,4,16,1,1,shallow/constr-d4-w16,7.376361124003353e-7,7.371590407348501e-7,7.381614951269433e-7,1.1490733264063986e-9,9.368167502752058e-10,1.3834839150784165e-9
nested,constr-d4-w16,constr,4,16,1,2,nested/constr-d4-w16,8.363665960461837e-7,8.360644388618652e-7,8.367455882136581e-7,7.114568297692945e-10,5.083759441875252e-10,9.082320696698168e-10
shallow,constr-d16-w1,constr,16,1,1,1,shallow/constr-d16-w1,1.2184747876361973e-6,1.2169251892098805e-6,1.2195896000845221e-6,2.800133002362822e-9,1.6289401167848615e-9,3.904525721859887e-9
nested,constr-d16-w1,constr,16,1,1,2,nested/constr-d16-w1,8.219824033165187e-7,8.212560294437741e-7,8.237728600003049e-7,2.3222635103333256e-9,8.658410162316459e-10,4.385621344086648e-9
shallow,constr-d16-w4,constr,16,4,1,1,shallow/constr-d16-w4,1.4136143323034364e-6,1.410911331851214e-6,1.416313654826486e-6,5.907609795256033e-9,4.0748949121295876e-9,8.690277378058577e-9
nested,constr-d16-w4,constr,16,4,1,2,nested/constr-d16-w4,1.1318107690878529e-6,1.1299341285345368e-6,1.133362098791166e-6,3.6325972419140175e-9,2.9011682297242887e-9,4.384605988767398e-9
shallow,constr-d16-w16,constr,16,16,1,1,shallow/constr-d16-w16,2.171132803185015e-6,2.1706384568985107e-6,2.1717609844665873e-6,1.282482248233055e-9,9.271083880937948e-10,1.9175622271146637e-9
nested,constr-d16-w16,constr,16,16,1,2,nested/constr-d16-w16,2.4618662172813677e-6,2.461033247983648e-6,2.4629480017973033e-6,1.9593923244732895e-9,1.3919405692836563e-9,2.542409633181576e-9
shallow,list-d1-w1,list,1,1,1,1,shallow/list-d1-w1,3.469470127938838e-7,3.4665429327347523e-7,3.4723489927894516e-7,6.218947478765563e-10,4.940503151389104e-10,7.991387517339401e-10
nested,list-d1-w1,list,1,1,1,2,nested/list-d1-w1,3.631325606585409e-7,3.628231628399669e-7,3.635246804488234e-7,7.541448373648749e-10,5.498202904524431e-10,1.128157770742235e-9
shallow,list-d1-w4,list,1,4,1,1,shallow/list-d1-w4,3.568740455027919e-7,3.5655163684851097e-7,3.5726781410229514e-7,7.759636829282534e-10,6.546519946361277e-10,9.895759300097662e-10
nested,list-d1-w4,list,1,4,1,2,nested/list-d1-w4,3.832339556739535e-7,3.8293990890160537e-7,3.8360477778972385e-7,7.187692821155223e-10,5.713020528331575e-10,9.46696583344059e-10
shallow,list-d1-w16,list,1,16,1,1,shallow/list-d1-w16,3.9064994529709086e-7,3.904560961591606e-7,3.9090404419414063e-7,4.800707087894547e-10,3.3220648075236576e-10,6.742427824712398e-10
nested,list-d1-w16,list,1,16,1,2,nested/list-d1-w16,4.633646955654706e-7,4.621587186282863e-7,4.6906137240796785e-7,4.5748889499078295e-9,5.055012337454364e-10,9.068739446734684e-9
shallow,list-d4-w1,list,4,1,1,1,shallow/list-d4-w1,5.132567797826356e-7,5.11095704215272e-7,5.150531368315098e-7,4.363587205835885e-9,3.6643696816408985e-9,4.9173210108621975e-9
nested,list-d4-w1,list,4,1,1,2,nested/list-d4-w1,4.25911022459698e-7,4.255228295598216e-7,4.2634862084233136e-7,8.953019958308516e-10,7.315757096153009e-10,1.142420772261133e-9
shallow,list-d4-w4,list,4,4,1,1,shallow/list-d4-w4,5.617430969700261e-7,5.61390405856785e-7,5.623074064855386e-7,9.626751421792053e-10,6.387267460858908e-10,1.3787332197989642e-9
nested,list-d4-w4,list,4,4,1,2,nested/list-d4-w4,5.059187756312957e-7,5.056699886590097e-7,5.062174609867346e-7,5.758782363732257e-10,4.2473476312658875e-10,7.554401262492384e-10
shallow,list-d4-w16,list,4,16,1,1,shallow/list-d4-w16,7.180309170111539e-7,7.173950501513979e-7,7.19342632309585e-7,2.092483303531591e-9,9.948358223729866e-10,3.4980783673618993e-9
nested,list-d4-w16,list,4,16,1,2,nested/list-d4-w16,8.190243915516592e-7,8.188325417674951e-7,8.192733684714936e-7,4.916401378208671e-10,3.7967756595699713e-10,6.476737990863921e-10
shallow,list-d16-w1,list,16,1,1,1,shallow/list-d16-w1,1.1787174778559183e-6,1.1755520067825729e-6,1.1881090089166275e-6,1.04247647531965e-8,4.334323367987418e-9,1.8927022373750825e-8
nested,list-d16-w1,list,16,1,1,2,nested/list-d16-w1,7.643522848891448e-7,7.640847646440367e-7,7.646159680066297e-7,5.595467867926357e-10,4.071688861482566e-10,7.600321497989847e-10
shallow,list-d16-w4,list,16,4,1,1,shallow/list-d16-w4,1.3197386667934271e-6,1.3182884427527749e-6,1.3213151370857465e-6,3.407431440756096e-9,2.8563633258343122e-9,4.229989551087994e-9
nested,list-d16-w4,list,16,4,1,2,nested/list-d16-w4,1.0696841429130274e-6,1.069155734367734e-6,1.0702095311885507e-6,1.1563503336969113e-9,9.13606062555756e-10,1.5414643738549584e-9
shallow,list-d16-w16,list,16,16,1,1,shallow/list-d16-w16,2.1293867142572543e-6,2.1274782361356203e-6,2.130694817307414e-6,3.307255993120942e-9,2.3128671170054276e-9,4.500862148687365e-9
nested,list-d16-w16,list,16,16,1,2,nested/list-d16-w16,2.401317904156945e-6,2.400332627943844e-6,2.4021953035077286e-6,2.025386261308793e-9,1.4963532729703435e-9,2.8841856677230535e-9
shallow,alternating-d1-w1,alternating,1,1,1,1,shallow/alternating-d1-w1,3.486422106929797e-7,3.484080838482585e-7,3.4889206973574207e-7,5.063301842951518e-10,3.8946543926747724e-10,6.815925804471902e-10
nested,alternating-d1-w1,alternating,1,1,1,2,nested/alternating-d1-w1,3.687351970055789e-7,3.6855587401176283e-7,3.690244567880399e-7,4.756232120883695e-10,3.138407228171152e-10,7.419141893634e-10
shallow,alternating-d1-w4,alternating,1,4,1,1,shallow/alternating-d1-w4,3.67692789785502e-7,3.670133388408638e-7,3.6825102233022615e-7,1.3096677184837805e-9,9.913151217591522e-10,1.5865238788342923e-9
nested,alternating-d1-w4,alternating,1,4,1,2,nested/alternating-d1-w4,3.8940990045008546e-7,3.892327770348898e-7,3.895742876411891e-7,3.747569316519677e-10,2.967213636388151e-10,5.198651735324612e-10
shallow,alternating-d1-w16,alternating,1,16,1,1,shallow/alternating-d1-w16,3.9623041676651386e-7,3.9601726007804983e-7,3.964538432059906e-7,4.753285820794822e-10,3.7461974748314005e-10,6.445342422602246e-10
nested,alternating-d1-w16,alternating,1,16,1,2,nested/alternating-d1-w16,4.697742197048167e-7,4.6911575122562385e-7,4.7032629735145103e-7,1.3199121894783043e-9,1.1116219793996392e-9,1.4998698815904441e-9
shallow,alternating-d4-w1,alternating,4,1,1,1,shallow/alternating-d4-w1,5.743484899312981e-7,5.730193458424947e-7,5.754462533547611e-7,2.6844666409972757e-9,1.9673966336639867e-9,3.5236458740239458e-9
nested,alternating-d4-w1,alternating,4,1,1,2,nested/alternating-d4-w1,4.674742327782834e-7,4.644954304680586e-7,4.7085782786521237e-7,6.79489403032491e-9,6.201893821605225e-9,7.913666533009394e-9
shallow,alternating-d4-w4,alternating,4,4,1,1,shallow/alternating-d4-w4,6.469396953107165e-7,6.434266438616579e-7,6.501456713731253e-7,7.142805099398261e-9,6.148982080953308e-9,8.231598184437571e-9
nested,alternating-d4-w4,alternating,4,4,1,2,nested/alternating-d4-w4,5.74536921824103e-7,5.732734630089366e-7,5.778834572914961e-7,4.210765318283304e-9,1.5866203529880764e-9,7.472721425640841e-9
shallow,alternating-d4-w16,alternating,4,16,1,1,shallow/alternating-d4-w16,8.10561800709763e-7,8.087659698791452e-7,8.121489812691978e-7,3.5824173320576742e-9,2.5231568951369754e-9,4.164117803649999e-9
nested,alternating-d4-w16,alternating,4,16,1,2,nested/alternating-d4-w16,8.794180017823341e-7,8.790176560221465e-7,8.799311685879646e-7,1.0094076265481072e-9,7.302220337216466e-10,1.4344309584427993e-9
shallow,alternating-d16-w1,alternating,16,1,1,1,shallow/alternating-d16-w1,1.5467711334980469e-6,1.5448012628606439e-6,1.549629422842243e-6,5.128064339402148e-9,3.942681944649727e-9,6.90030723542673e-9
nested,alternating-d16-w1,alternating,16,1,1,2,nested/alternating-d16-w1,1.0059185224354988e-6,1.0051155015245822e-6,1.0063536333506738e-6,1.2276163041800617e-9,6.76181147065982e-10,1.7184727943187935e-9
shallow,alternating-d16-w4,alternating,16,4,1,1,shallow/alternating-d16-w4,1.8223894030519158e-6,1.8202326800168296e-6,1.8240213080351108e-6,4.117602725946082e-9,3.137484810831438e-9,5.274046948511224e-9
nested,alternating-d16-w4,alternating,16,4,1,2,nested/alternating-d16-w4,1.386693281251241e-6,1.3861351644762814e-6,1.387351918552205e-6,1.2870644171821465e-9,9.353186964903771e-10,1.8362555904245842e-9
shallow,alternating-d16-w16,alternating,16,16,1,1,shallow/alternating-d16-w16,2.6914646286896085e-6,2.6898398443908474e-6,2.6927750925077405e-6,3.275674352708813e-9,2.409210026472682e-9,5.059303568468343e-9
nested,alternating-d16-w16,alternating,16,16,1,2,nested/alternating-d16-w16,2.702358673264603e-6,2.701825508668426e-6,2.7030837783609083e-6,1.367125836632841e-9,8.858149491114949e-10,2.2381023260353665e-9
nested,constr-d1-w1,constr,1,1,2,1,nested/constr-d1-w1,3.6917758879906506e-7,3.6890390523748e-7,3.694412045749003e-7,5.942711090152975e-10,4.839185859827278e-10,7.305697267892207e-10
shallow,constr-d1-w1,constr,1,1,2,2,shallow/constr-d1-w1,3.480713546712522e-7,3.4723954798334943e-7,3.4872986615694373e-7,1.5821238595920225e-9,1.1858560186546293e-9,1.96509057701981e-9
nested,constr-d1-w4,constr,1,4,2,1,nested/constr-d1-w4,3.8978100334768365e-7,3.896841321577275e-7,3.898932400547359e-7,2.230138695035105e-10,1.609167159328715e-10,3.092383334363104e-10
shallow,constr-d1-w4,constr,1,4,2,2,shallow/constr-d1-w4,3.592128335841709e-7,3.590122221282954e-7,3.594343427414754e-7,4.5157113434308486e-10,3.18111281274791e-10,6.574301944793582e-10
nested,constr-d1-w16,constr,1,16,2,1,nested/constr-d1-w16,4.6821401686176867e-7,4.680209089816554e-7,4.6837789920179487e-7,4.0515938167157005e-10,3.144865293681094e-10,5.69471335027813e-10
shallow,constr-d1-w16,constr,1,16,2,2,shallow/constr-d1-w16,3.9570643008047576e-7,3.955260282058152e-7,3.958831824065653e-7,3.892631544840055e-10,2.9592089640458727e-10,5.40934603048742e-10
nested,constr-d4-w1,constr,4,1,2,1,nested/constr-d4-w1,4.421002562564462e-7,4.41837379309818e-7,4.423962437669574e-7,5.912893056830904e-10,4.894152075815433e-10,7.356012226542729e-10
shallow,constr-d4-w1,constr,4,1,2,2,shallow/constr-d4-w1,5.397061632705765e-7,5.390686561491951e-7,5.403443328363173e-7,1.398901068702473e-9,1.146868777245161e-9,1.9551965032749964e-9
nested,constr-d4-w4,constr,4,4,2,1,nested/constr-d4-w4,5.229641841837544e-7,5.227457022047575e-7,5.232233141717919e-7,5.080007692214063e-10,3.6556350986112677e-10,7.247799570126626e-10
shallow,constr-d4-w4,constr,4,4,2,2,shallow/constr-d4-w4,5.933823235460462e-7,5.899492775061263e-7,6.00548432406299e-7,9.543949268804747e-9,6.763280476846537e-10,1.4723611777003782e-8
nested,constr-d4-w16,constr,4,16,2,1,nested/constr-d4-w16,8.348468395732109e-7,8.336213904090444e-7,8.359605994108589e-7,2.3047763314540172e-9,1.8063413310030828e-9,2.8735199909940883e-9
shallow,constr-d4-w16,constr,4,16,2,2,shallow/constr-d4-w16,7.308139624021833e-7,7.302401091297035e-7,7.315194726543953e-7,1.3264830770594023e-9,9.427609981918139e-10,1.965306059973826e-9
nested,constr-d16-w1,constr,16,1,2,1,nested/constr-d16-w1,8.333556206537369e-7,8.327745650294394e-7,8.340182185818847e-7,1.2935066094180485e-9,9.780461386361365e-10,1.672161136740619e-9
shallow,constr-d16-w1,constr,16,1,2,2,shallow/constr-d16-w1,1.2271653400170926e-6,1.2265833869564905e-6,1.227862221897398e-6,1.305708611662464e-9,9.950644232805496e-10,1.9563940665559974e-9
nested,constr-d16-w4,constr,16,4,2,1,nested/constr-d16-w4,1.130029550500685e-6,1.1282778771544765e-6,1.136941329035956e-6,6.863205071571146e-9,5.454979718132242e-10,1.3350555770595392e-8
